original_query,enhanced_query,top_similarity,weighted_top5_similarity,num_results,response_time
Furniture,"What are the different types and uses of furniture, and how can one choose the right pieces for various spaces and needs?",0.85434777,0.8530743837356568,5,0.4843261241912842
large carpet/rugs,What are the considerations and options when selecting large floor coverings for a space?,0.8521484,0.8472564280033111,5,0.10606694221496582
Hello Goodwill,What information or services can be found at Goodwill?,0.8014975,0.8001278102397918,5,0.11074590682983398
Children books,What are the key characteristics and themes of literature aimed at young readers?,0.8166071,0.80866459608078,5,0.07329583168029785
books,"What are the different types of books available, and how can they be categorized based on genre, purpose, or audience?",0.8386302,0.8278309404850006,5,0.03687596321105957
couch and loveseat,"What are the different types of seating furniture available for living rooms, and what are their features and benefits?",0.8747908,0.8716195344924927,5,0.07206487655639648
washer,What are the different types of washing machines and their features?,0.9025037,0.884524205327034,5,0.07456183433532715
women’s and men’s clothes and shoes,What are the different types of clothing and footwear available for all genders?,0.8270587,0.8195181667804718,5,0.04313182830810547
Couch,"What are the different types, uses, and considerations for choosing seating furniture?",0.88773936,0.8761593699455261,5,0.07615423202514648
Sleeper sofa clean in good condition,What are the characteristics and maintenance requirements of a well-maintained sleeper sofa?,0.8460282,0.8391926407814027,5,0.14849185943603516
dresser,What are the different types and uses of furniture pieces designed for storing clothes and personal items?,0.92202216,0.8995388001203537,5,0.07028365135192871
Entertainment center and tv,What are the considerations and options for setting up a home entertainment system?,0.89132655,0.8723133832216263,5,0.07649803161621094
microwave,"What are the general features, uses, and considerations when choosing a microwave?",0.91748166,0.8886902034282684,5,0.03734302520751953
futon sofa bed,What are the different types and functionalities of convertible furniture options for seating and sleeping?,0.89721847,0.8846960514783859,5,0.07132124900817871
dressing table,What are the different types and features of furniture pieces used for personal grooming and storage in a bedroom?,0.88349575,0.8818520277738572,5,0.04360795021057129
Computer Desk,What are the different types and features of desks suitable for computer use?,0.87783027,0.8729465544223786,5,0.04253411293029785
and desks,"What are some common types of office furniture, including desks, and their features or uses?",0.86223423,0.8612402945756913,5,0.11252975463867188
ikea island kitchen table,What are the options and considerations for choosing a kitchen island table from IKEA?,0.85881484,0.8519009590148926,5,0.044790029525756836
Dual recliner couch,What are the features and benefits of couches with dual reclining seats?,0.8947334,0.8817769140005112,5,0.04272103309631348
Two shelves,What are the considerations and options when choosing or installing shelving solutions?,0.8796878,0.872063809633255,5,0.043437957763671875
wooden cart,"What are the different types and uses of carts made from various materials, including wood?",0.8707363,0.8686752796173096,5,0.04138684272766113
A large sectional Tommyville couch,"What are the characteristics and options available for large sectional couches, particularly those similar to the Tommyville brand?",0.8437212,0.8374391108751297,5,0.08081483840942383
Twin size,"What are the characteristics and uses of different bed sizes, including twin size?",0.831421,0.8305198341608048,5,0.0414578914642334
Sectional Sofa,"What are the different types and features of sofas available, and how do sectional sofas compare in terms of design, functionality, and space utilization?",0.87201583,0.8668848633766174,5,0.07815289497375488
Miscellaneous clothing,What are the various categories and types of clothing that do not fit into standard classifications?,0.8225386,0.8208151161670685,5,0.03676605224609375
some plastic containers/drawers,What are the different types and uses of plastic storage solutions?,0.89323354,0.8741484463214875,5,0.045890092849731445
coffee table,What are the different types and features of tables typically used in living room settings?,0.9083268,0.8951507806777954,5,0.04526996612548828
HP printer,"What are the general features, troubleshooting tips, or purchasing considerations for printers, specifically those made by HP?",0.858899,0.847012323141098,5,0.0778799057006836
Big Screen TV,What are the key factors to consider when choosing a large television?,0.85579455,0.8483055025339127,5,0.08141398429870605
coffee table,What are the different types and uses of tables designed for living room spaces?,0.9092064,0.8957851111888886,5,0.0401158332824707
Large chair,What are the different types and features of large seating furniture?,0.86413383,0.8618107229471207,5,0.038349151611328125
mattress,"What are the different types of mattresses available, and how do they vary in terms of comfort, support, and durability?",0.90583956,0.8897824585437775,5,0.0808861255645752
extra light for ceiling fan,What are the options for adding additional lighting to a ceiling fan?,0.87715733,0.8636637508869172,5,0.04136300086975098
love seat sofa,What are the different types and features of small sofas or compact seating options?,0.8730093,0.8690671801567078,5,0.03965401649475098
small tv stand,What are the options and considerations for choosing compact furniture solutions for displaying televisions?,0.8858954,0.8770142555236816,5,0.037138938903808594
bathroom and room decor,"What are some general ideas and principles for home interior decoration, including both bathroom and bedroom design?",0.8466177,0.8409268587827683,5,0.04422283172607422
misc,What are the general categories or uses of miscellaneous items or topics?,0.8371061,0.8349883437156678,5,0.04387974739074707
tv stand w/fireplace insert,What are the options for furniture that combine a TV stand with a heating feature?,0.8677537,0.859261491894722,5,0.04205608367919922
China cabinet,What are the different types and uses of display cabinets for showcasing items?,0.9136887,0.8968344390392303,5,0.042043209075927734
Sectional Sofa,"What are the different types and features of sofas, and how do sectional sofas compare to other styles?",0.8676138,0.862000298500061,5,0.04138898849487305
misc household decor,What are some general categories and ideas for home decoration and interior design?,0.83549,0.8333975195884704,5,0.03780078887939453
Misc household items,"What are some common categories and examples of household items, and how can they be organized or utilized effectively?",0.85668933,0.8523235887289047,5,0.0430750846862793
Dinning room table and chairs,What are the key considerations when choosing dining room furniture?,0.86802304,0.8624994575977326,5,0.08546614646911621
large entertainment wall unit,What are the options and considerations for choosing a spacious furniture piece designed to accommodate entertainment systems and media storage?,0.88727844,0.8750140547752381,5,0.04240703582763672
stools,"What are the different types and uses of stools, and how do they differ in design and functionality?",0.8825254,0.8673713982105256,5,0.041723012924194336
Lady boy chair,What are the different meanings or contexts associated with the term 'lady boy chair'?,0.8385297,0.8358390510082245,5,0.04734683036804199
metallic bed frame,"What are the different types and features of bed frames, particularly those made from metal?",0.87939095,0.8698900550603866,5,0.037734031677246094
bed stands,What are the different types and purposes of furniture stands used for supporting beds?,0.8588112,0.8558867096900941,5,0.04286837577819824
Sofa and loveseat,What are the different types and features of seating furniture for living rooms?,0.87041163,0.8678140848875046,5,0.042733192443847656
white wood end tables with glass tops,What are the different styles and materials available for end tables that combine wood and glass elements?,0.83697414,0.831852063536644,5,0.14932823181152344
night stand,What are the various types and uses of bedside furniture?,0.87926596,0.8733014911413193,5,0.05098605155944824
Sofa and small dinner table,What are some essential pieces of furniture for a living and dining area?,0.8766123,0.8698417037725449,5,0.03911089897155762
Sofa Chair,"What are the different types and features of seating furniture, and how do they compare in terms of comfort and functionality?",0.87722826,0.875227078795433,5,0.044573068618774414
Reclining sofa and loveseat set,What are the different types and features of furniture sets that include both a sofa and a loveseat?,0.8791021,0.865198639035225,5,0.07907700538635254
headboard and mattress,"What are the considerations when choosing bedroom furniture, specifically regarding the compatibility and selection of headboards and mattresses?",0.8666969,0.8617797344923019,5,0.04561495780944824
holiday decor,What are some general ideas and trends for seasonal decorations and how can they be applied to various holidays?,0.8496033,0.8413208067417145,5,0.07443809509277344
chairs,What are the different types and uses of seating furniture?,0.8811519,0.8728924989700317,5,0.05201315879821777
full size mirror,"What are the different types and uses of large mirrors, and how can they be integrated into various spaces for functional or decorative purposes?",0.8694272,0.8638459980487824,5,0.07940673828125
Kitchen table,What are the different types and uses of tables commonly found in a kitchen setting?,0.9309033,0.9066876947879792,5,0.04473400115966797
small round glass dining table with four chairs,What are some options for compact dining sets that include a table and chairs?,0.8675221,0.8618087053298951,5,0.046633005142211914
