item_name,description
Air Compressor,"A device that converts power into pressurized air, often used for inflating tires, powering tools, or cleaning."
Air Conditioner,A machine that cools and dehumidifies air to provide comfort in indoor spaces.
Air Fryer,"A countertop appliance that cooks food by circulating hot air, mimicking frying without oil."
Air Hockey Table,"A flat, smooth table with an air-powered surface for playing air hockey with paddles and a puck."
Air Purifier,"A device that removes contaminants like dust, pollen, and odors from the air, improving indoor air quality."
Aquarium,"A glass or acrylic container used to house fish and aquatic plants, often decorative."
Arcade Machine,"A coin-operated machine featuring video or pinball games, typically found in arcades or entertainment centers."
Arm Chair,"A comfortable, padded chair with armrests, often used in living rooms or offices."
Armoire,"A tall, freestanding cabinet used for storing clothes, linens, or other items."
Artificial Christmas Tree,"A reusable, synthetic tree designed to mimic a real Christmas tree for holiday decorations."
Artificial Plant,"A lifelike, decorative plant made from synthetic materials, requiring no maintenance."
Baby Bassinet,"A small, portable bed for infants, typically with a soft, cushioned interior."
Baby Bath Seat,"A seat designed to keep babies secure while bathing, often with suction cups for stability."
Baby Bouncer,"A lightweight seat for babies that rocks or bounces, often to soothe or entertain."
Baby Chair,"A small chair designed for babies or toddlers, sometimes with a tray for feeding."
Baby Cradle,"A small, rocking bed for infants, often used for sleeping."
Baby Crib,"A large, sturdy bed for infants with slatted sides to keep the baby safe while sleeping."
Baby Gate,"A safety barrier used to block off areas in a home, preventing babies from accessing unsafe spaces."
Baby Mattress,"A firm, cushioned mattress designed to fit cribs or other baby beds."
Baby Playpen,"A portable, enclosed area for babies to play safely."
Baby Ride On Car,A small car-shaped toy that children can sit on and propel themselves or ride with motorized assistance.
Baby Swing,"A seat for infants that swings back and forth, often with soothing motions and sounds."
Baby Walker,A frame on wheels that helps babies learn to walk by supporting them as they move.
Bakers Rack,"A multi-tiered shelving unit, often used in kitchens to store and display items like dishes or plants."
Balance Beam,"A narrow, elevated platform used for gymnastics and balance training."
Banquet Table,"A large, foldable table typically used for events, catering, or conferences."
Bar,"A counter or table used for serving and preparing drinks, often in home or commercial settings."
Bar Cabinet,"A furniture piece designed to store bottles, glasses, and bar tools, often featuring shelves or compartments."
Bar Cart,"A rolling cart used to serve and store beverages, glasses, and bar accessories."
Bar Stool,"A tall stool with or without a backrest, commonly used at bars or counters."
Bar table,"A tall table designed for seating with bar stools, commonly used in dining or bar areas."
Barbecue Grill,"A cooking appliance used outdoors for grilling food, typically powered by charcoal, gas, or electricity."
Barbell,"A long bar with adjustable weights on both ends, used for weightlifting and strength training."
Barber Chair,"A reclining chair with adjustable height, used in barbershops for haircuts and grooming."
Baseball Bat,"A solid, cylindrical stick used in baseball to hit the ball during play."
Basket,"A container made of woven materials, used for storage or carrying items."
Basketball,"An inflated ball used in the game of basketball, designed for bouncing and shooting into hoops."
Basketball Hoop,"A metal ring with a net attached, used as the target for scoring points in basketball."
Bathroom Cabinet,"A storage unit for toiletries, often mounted on or under a bathroom sink."
Bathroom Sink,"A basin installed in a bathroom, used for washing hands and face."
Bathtub,"A large container for bathing, often installed in bathrooms."
Bean Bag Chair,"A soft, cushion-like chair filled with beans or foam, designed to conform to the sitter’s shape."
Bed Frame,"A structure that supports a mattress and raises it off the floor, often with a headboard and footboard."
Bedside Table,"A small table placed beside a bed for holding lamps, books, or personal items."
Bench,"A long seat designed to accommodate multiple people, often found in parks or dining areas."
Benchtop Jointer,A woodworking tool used to create flat surfaces along the edges of wooden boards.
Bicycle,"A two-wheeled vehicle powered by pedaling, often used for transportation or recreation."
Bike Rack,"A structure for storing or securing bicycles, often mounted on vehicles or walls."
Bird Cage,"An enclosure for housing pet birds, designed to provide both safety and space."
Bistro Set,"A small table with two matching chairs, commonly used for outdoor dining or patios."
Blender,"A kitchen appliance used to mix, puree, or emulsify food and beverages."
Blinds / Shades,"Window coverings made of horizontal or vertical slats or fabric, used to block light or provide privacy."
Bookcase,"A piece of furniture with shelves, used for storing books and decorative items."
Bookshelf ,A set of horizontal shelves designed specifically to hold books.
Bow Flex Exercise Machine,A home gym machine using flexible rods for resistance training.
Bricks,"Solid blocks made of clay or concrete, used in construction."
Broom,"A cleaning tool with a long handle and bristles, used for sweeping floors."
Bucket,"A round, open container with a handle, used for carrying liquids or materials."
Bunk Bed,"A bed frame with two stacked beds, designed to save space."
Bureau,"A piece of furniture with drawers, used for storing clothes or personal items."
Butcher Block Table,A sturdy wooden table often used in kitchens for food preparation.
Cabinet,"A storage unit with doors or drawers, used for organizing household items."
Camera Tripod,A three-legged stand used to stabilize cameras for photography or videography.
Camping Bed,"A portable bed designed for outdoor use, often foldable and lightweight."
Camping Chair,A foldable chair made for outdoor activities like camping or picnics.
Candle Holder,A decorative item designed to hold candles upright.
Cane,"A walking aid used for support or balance, typically made of wood or metal."
Canoe,"A narrow, lightweight boat, often propelled with a single-bladed paddle."
Canopy,"A fabric covering supported by poles, used for shade or shelter."
Carpet,"A large, soft floor covering, often made of woven fabric, used to enhance comfort and aesthetics."
Carpet Cleaner,A machine or device used for deep cleaning carpets and removing stains.
Cart,"A wheeled structure used for carrying or transporting goods, often pushed or pulled by hand."
Cat Tree,"A multi-level structure designed for cats to climb, scratch, and play."
CD Rack,A storage unit designed to organize and hold compact discs (CDs).
Ceiling Fan,"A fan mounted on the ceiling, used for air circulation and cooling."
Ceiling Light,"A light fixture installed on the ceiling, providing overhead illumination."
Cement Block,"A rectangular block made of cement, used in construction."
Ceramic Tile,"A durable material used for flooring, walls, or countertops, made of baked clay."
Chain,"A series of connected metal links, used for securing, towing, or lifting."
