item_name,description,category,intended_use,indoor_or_outdoor,portable,size
Air Compressor,"A device that converts power into pressurized air, often used for inflating tires, powering tools, or cleaning.",Tool,"Used for inflating tires, powering tools, or cleaning.",Both,Yes,Medium
Air Conditioner,A machine that cools and dehumidifies air to provide comfort in indoor spaces.,Electronics,Used to cool and dehumidify indoor air.,Indoor,No,Large
Air Fryer,"A countertop appliance that cooks food by circulating hot air, mimicking frying without oil.",Kitchen Appliance,Cooks food by circulating hot air.,Indoor,Yes,Medium
Air Hockey Table,"A flat, smooth table with an air-powered surface for playing air hockey with paddles and a puck.",Game Equipment,For playing air hockey.,Indoor,No,Large
Air Purifier,"A device that removes contaminants like dust, pollen, and odors from the air, improving indoor air quality.",Electronics,Improving indoor air quality.,Indoor,Yes,Medium
Aquarium,"A glass or acrylic container used to house fish and aquatic plants, often decorative.",Pet Supplies,Used to house fish and aquatic plants.,Indoor,No,Medium
Arcade Machine,"A coin-operated machine featuring video or pinball games, typically found in arcades or entertainment centers.",Entertainment,Used for playing video or pinball games.,Indoor,No,Large
Arm Chair,"A comfortable, padded chair with armrests, often used in living rooms or offices.",Furniture,Used for seating in living rooms or offices.,Indoor,No,Medium
Armoire,"A tall, freestanding cabinet used for storing clothes, linens, or other items.",Furniture,"Used for storing clothes, linens, or other items.",Indoor,No,Large
Artificial Christmas Tree,"A reusable, synthetic tree designed to mimic a real Christmas tree for holiday decorations.",Holiday Decoration,Used for holiday decorations.,Indoor,Yes,Medium
Artificial Plant,"A lifelike, decorative plant made from synthetic materials, requiring no maintenance.",Home Decor,Used for decoration.,Indoor,Yes,Medium
Baby Bassinet,"A small, portable bed for infants, typically with a soft, cushioned interior.",Furniture,A bed for infants.,Indoor,Yes,Small
Baby Bath Seat,"A seat designed to keep babies secure while bathing, often with suction cups for stability.",Baby Product,To keep babies secure while bathing.,Indoor,Yes,Small
Baby Bouncer,"A lightweight seat for babies that rocks or bounces, often to soothe or entertain.",Baby Gear,Used to soothe or entertain babies.,Indoor,Yes,Small
Baby Chair,"A small chair designed for babies or toddlers, sometimes with a tray for feeding.",Furniture,Designed for babies or toddlers to sit.,Indoor,Yes,Small
Baby Cradle,"A small, rocking bed for infants, often used for sleeping.",Furniture,Used for sleeping infants.,Indoor,Yes,Small
Baby Crib,"A large, sturdy bed for infants with slatted sides to keep the baby safe while sleeping.",Furniture,Used for infants to sleep safely.,Indoor,No,Large
Baby Gate,"A safety barrier used to block off areas in a home, preventing babies from accessing unsafe spaces.",Safety Equipment,"Used to block off areas in a home, preventing babies from accessing unsafe spaces.",Indoor,Yes,Medium
Baby Mattress,"A firm, cushioned mattress designed to fit cribs or other baby beds.",Furniture,Designed for use in cribs or baby beds.,Indoor,Yes,Medium
Baby Playpen,"A portable, enclosed area for babies to play safely.",Baby Products,A safe area for babies to play.,Indoor,Yes,Medium
Baby Ride On Car,A small car-shaped toy that children can sit on and propel themselves or ride with motorized assistance.,Toy,A toy for children to ride on.,Both,Yes,Small
Baby Swing,"A seat for infants that swings back and forth, often with soothing motions and sounds.",Baby Product,A seat for infants that swings back and forth.,Indoor,Yes,Medium
Baby Walker,A frame on wheels that helps babies learn to walk by supporting them as they move.,Baby Product,Helps babies learn to walk.,Indoor,Yes,Medium
Bakers Rack,"A multi-tiered shelving unit, often used in kitchens to store and display items like dishes or plants.",Furniture,Used to store and display items like dishes or plants.,Indoor,No,Medium
Balance Beam,"A narrow, elevated platform used for gymnastics and balance training.",Sports Equipment,Used for gymnastics and balance training.,Indoor,No,Large
Banquet Table,"A large, foldable table typically used for events, catering, or conferences.",Furniture,"Used for events, catering, or conferences.",Both,Yes,Large
Bar,"A counter or table used for serving and preparing drinks, often in home or commercial settings.",Furniture,Used for serving and preparing drinks.,Both,No,Large
Bar Cabinet,"A furniture piece designed to store bottles, glasses, and bar tools, often featuring shelves or compartments.",Furniture,"Designed to store bottles, glasses, and bar tools.",Indoor,No,Medium
Bar Cart,"A rolling cart used to serve and store beverages, glasses, and bar accessories.",Furniture,"Used to serve and store beverages, glasses, and bar accessories.",Indoor,Yes,Medium
Bar Stool,"A tall stool with or without a backrest, commonly used at bars or counters.",Furniture,Used at bars or counters.,Indoor,Yes,Medium
