original_query,paraphrased_query
Furniture,Furniture
large carpet/rugs,large carpets/rugs
books,Books
Hello Goodwill,"Hello, Goodwill"
Children books,Children's books
washer,washer
Couch,Couches
Sleeper sofa clean in good condition,Clean sleeper sofa in good condition
couch and loveseat,couch and loveseat
dresser,Dresser
women’s and men’s clothes and shoes,women's and men's clothes and shoes
Entertainment center and tv,Entertainment center and TV
futon sofa bed,Futon sofa bed
dressing table,dressing table
Computer Desk,Computer desk
microwave,"The grammar of the search query ""microwave"" is already correct."
ikea island kitchen table,IKEA island kitchen table
and desks,desks
Two shelves,two shelves
wooden cart,Wooden cart
A large sectional Tommyville couch,Large sectional Tommyville couch
Dual recliner couch,Dual reclining couch
Twin size,twin size
Miscellaneous clothing,Miscellaneous clothing
Sectional Sofa,Sectional sofa
some plastic containers/drawers,some plastic containers or drawers
HP printer,hp printer
Big Screen TV,Big screen TV
Large chair,Large chair
coffee table,"The grammar of the search query ""coffee table"" is already correct and does not need improvement."
coffee table,"The original query ""coffee table"" is grammatically correct and doesn't need improvement."
mattress,mattress
extra light for ceiling fan,extra light for a ceiling fan
bathroom and room decor,Bathroom and room decor
love seat sofa,loveseat sofa
small tv stand,small TV stand
misc,Miscellaneous
tv stand w/fireplace insert,TV stand with fireplace insert
China cabinet,China cabinet
Sectional Sofa,Sectional sofa
Misc household items,Miscellaneous household items
misc household decor,miscellaneous household decor
Dinning room table and chairs,Dining room table and chairs
stools,stools
large entertainment wall unit,Large entertainment wall unit
Lady boy chair,Ladyboy chair
bed stands,bed stands
white wood end tables with glass tops,White wooden end tables with glass tops
Sofa and loveseat,Sofa and loveseat.
Sofa and small dinner table,Sofa and small dining table
night stand,nightstand
Sofa Chair,Sofa chair
Reclining sofa and loveseat set,Reclining sofa and loveseat set
headboard and mattress,Headboard and mattress
chairs,Chairs
full size mirror,full-size mirror
holiday decor,Holiday decorations
Kitchen table,The kitchen table
small round glass dining table with four chairs,Small round glass dining table with four chairs
end table,end table
Metal Desk,metal desk
Couch and matching chair,Couch and matching chair.
lamps,Lamps
file cabinet,file cabinet
dining table,dining tables
Office desk and chair,Office desk and chair.
Clothes,Clothing
floor lamp,Floor lamp
"one twin bed headboard 
red and blue with Hockey spelled out","one twin bed headboard red and blue with ""Hockey"" spelled out"
metallic bed frame,Metal bed frame
ottoman and large tv stand,Ottoman and large TV stand
shoes,Shoes
chair,Chair
Dewalt Jobsite Table Saw,DeWalt Jobsite Table Saw
matte finish,matte finish
one recliner,recliner
one reclining loveseat,reclining loveseat
bed frames,Bed frames
Large wall unit,Large wall unit
love seat and couch chair,loveseat and couch chair
decor items miscellaneous,miscellaneous decor items
plastic file,Plastic file
flush mount lamp,Flush mount lamp
filing cabinet,filing cabinets
large dresser/mirror,large dresser with mirror
Sectional,Sectional
Clothing,Clothing
small rug,Small rug
bench at end bed,bench at end of bed
recliner,Recliner
Wood Entertainment Table,Wooden Entertainment Table
ottoman,Ottoman
Chairs,Chairs
lg heavy antique bar that is also used for storage,large heavy antique bar that is also used for storage
fully functioning,fully functional
washer and dryer,Washer and dryer
sofa table,Sofa table.
Cabinet/TV stand,Cabinet or TV stand
white,White
Refrigerator,The refrigerator
Queen bed frame,Queen bed frame
clothes,Clothing
easy chair and a hallway table,easy chair and hallway table
both wood,both woods
stuff,stuff
one mailer style desk,one mailer-style desk
Extra large sofa,Extra-large sofa
desk speaker set with subwoofer,Desk speaker set with subwoofer
China cabinet,China cabinet
dishes,Dishes
a small storage ottoman,small storage ottoman
loveseat,Loveseat
kitchen items,kitchen utensils
Two bedroom sets,Two-bedroom sets
Large sectional couch,Large sectional couch
miscellaneous items,Miscellaneous items
Treadmill in good working condition,Treadmill in good condition
"Large Sofa
Dresser w/Mirror
Flat Screen TV
Pub Table
Nightstand","Large sofa  
Dresser with mirror  
Flat screen TV  
Pub table  
Nightstand"
crib,Crib
love seat,loveseat
Sofa and Love Seat,Sofa and Loveseat
clothing,Clothing
Large Leather sofa,Large leather sofa
in good condition,in good condition
nightstand,"The original query ""nightstand"" is a single word and grammatically correct. No changes are necessary."
Sofas,Sofas
Sectional couch,Sectional sofa
so many fake flowers,So many fake flowers.
MATTRESS AND BOTTOM,Mattress and Base
Entertainment center,Entertainment center
one lazy boy couch good condition,one La-Z-Boy couch in good condition
and small side table,small side table
mattress,mattress
refridgerator,refrigerator
"Dishwasher 
Chandelier light",Dishwasher chandelier light
Sofa and loveseat,Sofa and loveseat
Recliner sofa and recliner,Recliner sofa and recliner
one smaller wardrobe,a smaller wardrobe
dresser,Dresser
a wheelbarrow and some yard equipment,Wheelbarrow and yard equipment
Electric fireplace,Electric fireplace
side table,Side table
recliner chair,Recliner chair
magazine rack,Magazine rack
Clothes,Clothing
Whit Ash tv cabinet with storage below,White ash TV cabinet with storage below
one women's hybrid mountain bike and a outside dog house,one woman's hybrid mountain bike and an outdoor dog house
one ottoman,one Ottoman
mirrors,Mirror
night stand,nightstand
Mattress,"The grammar of the search query ""Mattress"" does not need improvement."
Large couches side tables bunk beds and bed frames,"Large couches, side tables, bunk beds, and bed frames"
and rug pad,rug pad
sectional,Sectional
NIGHTSTAND,nightstand
Dining room table with four chairs,Dining room table with four chairs.
the other is heavier,The other one is heavier.
